Группа;Место;Балл, %;Широта;Долгота;Координаты для карт;Ближайший пункт;Тип пункта;До пункта, км;От границы Ташкента, км;Район;Население гекса, чел;Рынков 3км;Супермаркетов 3км;Из них сетевых;Банков 3км;Радиус поиска ЖК, км;Новостроек рядом;Квартир в них;Ввод жилья в районе, тыс. м²/год;Объявлений аренды 2км;Дешевейшее, $/мес;Зона Uzum;Признаков в оценке;Ссылка на карту
город Ташкент;24;83;41.343261;69.298274;41.343261, 69.298274;Атчапар-1 махалля;махалля;0.9;0.0;Юнусабадский район;8030;7;49;20;40;0.5;0;0;139.7;34;450;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.343261,69.298274
город Ташкент;25;81;41.315906;69.297453;41.315906, 69.297453;Ирригатор массив;махалля;0.5;0.0;Мирзо Улугбекский район;7188;3;50;21;68;0.5;0;0;98.2;122;800;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.315906,69.297453
город Ташкент;26;81;41.384298;69.299507;41.384298, 69.299507;Орзулар;махалля;0.1;0.0;Юнусабадский район;9262;5;19;7;27;0.5;0;0;139.7;17;700;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.384298,69.299507
город Ташкент;27;81;41.272355;69.339643;41.272355, 69.339643;Хосиятли махалля;махалля;0.5;0.0;Яшнободский район;7321;8;15;7;25;0.5;0;0;141.0;1;300;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.272355,69.339643
город Ташкент;28;81;41.319771;69.364845;41.319771, 69.364845;Гульзарабад махалля;махалля;0.4;0.0;Яшнободский район;8138;4;21;10;9;0.5;0;0;141.0;4;1100;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.319771,69.364845
город Ташкент;29;81;41.25868;69.339223;41.258680, 69.339223;Аханграбо (Панельный);махалля;0.6;0.0;Яшнободский район;8057;11;16;6;23;0.5;0;0;141.0;0;;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.258680,69.339223
город Ташкент;30;81;41.211644;69.19953;41.211644, 69.199530;Сергели-9А;махалля;0.1;0.0;Янгихаётский район;19654;3;17;12;21;0.5;0;0;122.7;7;700;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.211644,69.199530
город Ташкент;31;81;41.252524;69.208593;41.252524, 69.208593;"ЖК ""Домбрабад Тауерс""";махалля;0.1;0.0;Чиланзарский район;2199;4;16;4;24;0.5;1;600;28.3;7;350;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.252524,69.208593
город Ташкент;32;80;41.336413;69.389116;41.336413, 69.389116;Геофизика;село;0.4;0.0;Яшнободский район;6411;5;17;8;6;0.5;0;0;141.0;4;1100;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.336413,69.389116
город Ташкент;33;80;41.338502;69.369387;41.338502, 69.369387;Шуртепа махалля;махалля;0.4;0.0;Мирзо Улугбекский район;9666;7;29;15;15;0.5;0;0;98.2;9;10;рекомендуемая;3 из 3;https://www.google.com/maps?q=41.338502,69.369387
